Time,Accel
1.9,7.495209E-05
1.905,5.530303E-05
1.91,3.639271E-05
1.915,3.428042E-05
1.92,3.866166E-05
1.925,4.824616E-05
1.93,7.898818E-05
1.935,9.693395E-05
1.94,5.654528E-05
1.945,-1.724724E-06
1.95,1.117114E-05
1.955,8.075262E-05
1.96,1.079881E-04
1.965,6.514485E-05
1.97,2.582688E-05
1.975,3.703758E-05
1.98,7.377499E-05
1.985,6.758705E-05
1.99,3.716089E-05
1.995,2.772222E-05
2,4.588972E-05
2.005,6.505512E-05
2.01,3.217621E-05
2.015,1.033244E-05
2.02,2.945522E-05
2.025,4.549031E-05
2.03,4.150265E-05
2.035,4.343580E-05
2.04,7.703067E-05
2.045,9.721462E-05
2.05,6.496126E-05
2.055,2.935815E-05
2.06,3.639565E-05
2.065,8.005905E-05
2.07,9.925838E-05
2.075,7.051025E-05
2.08,7.666043E-05
2.085,1.189154E-04
2.09,9.145548E-05
2.095,3.187226E-05
2.1,1.826513E-05
2.105,4.363780E-05
2.11,8.226679E-05
2.115,1.027140E-04
2.12,9.997912E-05
2.125,8.575514E-05
2.13,5.289654E-05
2.135,3.746985E-05
2.14,6.080314E-05
2.145,6.985148E-05
2.15,7.703658E-05
2.155,8.420524E-05
2.16,5.887148E-05
2.165,2.063093E-05
2.17,-6.962518E-06
2.175,1.650557E-05
2.18,7.655787E-05
2.185,1.085823E-04
2.19,9.158450E-05
2.195,5.726985E-05
2.2,5.700624E-05
2.205,4.635755E-05
2.21,2.839919E-06
2.215,9.002591E-06
2.22,6.339106E-05
2.225,6.917776E-05
2.23,4.221260E-05
2.235,6.282682E-05
2.24,8.100492E-05
2.245,3.164741E-05
2.25,-9.523443E-06
2.255,6.518477E-06
2.26,8.832137E-05
2.265,1.303733E-04
2.27,9.619644E-05
2.275,4.904951E-05
2.28,6.976623E-05
2.285,1.193463E-04
2.29,9.586241E-05
2.295,6.454460E-05
2.3,8.725898E-05
2.305,1.304778E-04
2.31,1.053206E-04
2.315,1.505575E-05
2.32,-5.273530E-06
2.325,6.307749E-05
2.33,1.006550E-04
2.335,6.655669E-05
2.34,5.755604E-05
2.345,6.835627E-05
2.35,2.626161E-05
2.355,-1.887586E-06
2.36,2.652290E-05
2.365,7.709407E-05
2.37,9.156535E-05
2.375,5.154271E-05
2.38,2.694256E-05
2.385,5.215113E-05
2.39,6.487163E-05
2.395,7.152330E-05
2.4,7.757915E-05
2.405,5.171925E-05
2.41,2.269367E-05
2.415,1.915923E-05
2.42,3.628106E-05
2.425,7.007804E-05
2.43,9.415563E-05
2.435,7.652578E-05
2.44,1.242465E-05
2.445,7.129326E-07
2.45,5.251747E-05
2.455,7.147147E-05
2.46,6.204653E-05
2.465,4.134123E-05
2.47,2.425540E-05
2.475,2.235268E-05
2.48,3.419270E-05
2.485,7.649885E-05
2.49,1.171504E-04
2.495,7.779153E-05
2.5,2.606000E-05
2.505,4.937333E-05
2.51,8.567584E-05
2.515,4.893022E-05
2.52,-6.970012E-06
2.525,2.800631E-05
2.53,8.580244E-05
2.535,5.478261E-05
2.54,-1.400114E-05
2.545,-2.332488E-05
2.55,1.016069E-05
2.555,8.489585E-05
2.56,1.101260E-04
2.565,6.333895E-05
2.57,4.123102E-05
2.575,4.860671E-05
2.58,6.172234E-05
2.585,3.926475E-05
2.59,-1.867445E-05
2.595,-3.298768E-05
2.6,3.854069E-05
2.605,1.015260E-04
2.61,1.001876E-04
2.615,8.032696E-05
2.62,7.861092E-05
2.625,8.549409E-05
